ID,churn,join_time,vip,product,expenditure,call,traffic,state,IMEI
141,1,2011/12/10,0,99002138,0.0,0.0,0.0,6.0,
142,1,2014/8/4,0,99112822,0.0,0.0,0.0,0.0,
143,0,2013/10/26,0,99005044,29.815,4.81,41.61,0.0,35651705.0
144,0,2013/9/5,0,99104722,33.193,34.94,482.63,1.0,
145,0,2014/6/1,0,25101,0.135,0.0,0.0,7.0,
146,0,2014/5/31,0,99002138,226.629,410.7,1050.27,0.0,86398102.0
147,0,2013/10/30,0,99003577,0.0,0.0,0.0,5.0,
148,0,2014/2/13,0,99003576,160.446,1443.45,61.11,0.0,86207302.0
149,0,2014/6/7,0,99114782,0.0,0.0,0.0,3.0,
150,0,2012/9/12,0,99002147,55.053,66.28,309.68,0.0,86310101.0
151,0,2014/8/16,0,25101,56.708,32.59,189.27,1.0,
152,0,2014/6/8,0,25101,11.321,52.3,22.42,1.0,
153,0,2014/3/6,0,99112822,0.0,0.0,0.0,3.0,
154,0,2013/7/14,0,99005934,64.197,126.53,200.02,0.0,35521503.0
155,1,2013/8/10,0,99106763,0.0,0.0,0.0,6.0,
156,0,2014/6/8,0,99106763,0.135,0.0,0.0,7.0,
157,0,2014/7/29,0,99003576,60.604,22.0,0.0,0.0,35422706.0
158,1,2014/3/4,0,99114784,3.378,0.0,0.0,4.0,
159,0,2014/7/18,0,25206,0.0,0.0,0.0,3.0,
160,1,2014/8/31,0,99114783,0.0,0.0,0.0,0.0,
161,0,2013/9/28,0,99106763,75.954,186.01,160.46,1.0,
162,0,2013/12/24,0,99005934,29.313,0.0,0.0,5.0,
163,1,2014/1/22,0,99106763,1.748,0.0,0.0,4.0,
164,1,2014/8/23,0,99112822,0.0,0.0,0.0,0.0,
165,0,2014/1/21,0,3979,0.0,0.0,0.0,5.0,
166,0,2014/7/28,0,99116022,0.0,0.0,0.0,3.0,
167,0,2014/1/22,0,99003576,61.374,293.85,82.01,0.0,
168,0,2014/3/2,0,25128,77.142,328.57,316.14,1.0,
169,1,2014/8/13,0,99112822,0.0,0.0,0.0,0.0,
170,0,2011/11/8,0,99003576,62.755,555.31,29.43,0.0,86820100.0
171,0,2008/1/22,0,99005935,85.095,878.69,0.0,0.0,1313100.0
172,0,2014/8/25,0,25101,23.182,425.36,0.0,1.0,
173,1,2013/6/6,0,25210,0.0,0.0,0.0,,
174,0,2014/7/16,0,99005935,67.344,375.06,77.49,0.0,
175,0,2013/4/28,0,99002147,98.371,697.52,316.43,0.0,35536905.0
176,0,2014/9/4,0,25101,27.736,0.0,0.0,1.0,
177,0,2014/9/11,0,99112822,5.887,43.09,1598.14,1.0,
178,0,2014/9/27,0,25101,84.344,409.29,66.77,1.0,
179,0,2014/6/2,0,25101,130.598,991.49,0.0,1.0,
180,0,2013/9/1,0,99112822,0.0,0.0,0.0,3.0,
181,1,2014/3/19,0,99002147,277.817,0.0,0.0,6.0,
182,0,2012/7/13,0,99003577,0.0,0.0,0.0,5.0,
183,0,2014/8/11,0,25101,45.869,154.53,85.33,1.0,
184,1,2014/8/13,0,99112822,0.0,0.0,0.0,0.0,
185,1,2013/9/3,0,99106763,0.0,0.0,0.0,6.0,
186,0,2011/3/1,0,3903,0.0,0.0,0.0,5.0,
187,1,2014/8/23,0,99112822,0.0,0.0,0.0,0.0,
188,0,2013/1/28,0,99005934,0.0,0.0,0.0,1.0,
189,0,2014/7/13,0,25101,0.0,0.0,0.0,7.0,
190,1,2013/11/1,0,99112822,0.0,0.0,0.0,6.0,
191,0,2014/9/22,0,25101,47.506,843.76,0.0,1.0,
192,0,2014/8/1,0,99116023,104.959,539.89,0.26,1.0,
193,0,2014/8/8,0,99003576,53.06,0.0,0.0,0.0,
194,0,2014/6/12,0,25101,0.0,0.0,0.0,3.0,
195,0,2014/9/8,0,99112822,328.288,587.98,890.51,1.0,
196,1,2013/8/23,0,99005046,1.604,0.0,0.0,6.0,
197,0,2012/10/9,0,99002147,135.556,693.36,203.02,0.0,1305900.0
198,0,2014/6/3,0,99002138,61.452,0.0,0.0,5.0,
199,0,2013/9/21,0,99003579,101.862,766.75,248.38,0.0,1313500.0
200,0,2013/11/11,0,99112822,47.275,904.58,397.34,1.0,
201,1,2013/9/22,0,99112822,0.0,0.0,0.0,6.0,
202,0,2014/9/5,0,99114783,40.685,186.88,169.32,1.0,
203,1,2014/8/23,0,99112822,0.0,0.0,0.0,0.0,
204,1,2014/8/26,0,99114784,0.0,0.0,0.0,0.0,
205,1,2014/2/15,0,25206,3.667,0.0,0.0,4.0,
206,0,2014/7/10,0,99003577,60.411,3.57,0.46,0.0,
207,0,2014/5/14,0,99114783,0.135,0.0,0.0,7.0,
208,0,2013/5/3,0,99005934,0.0,0.0,0.0,1.0,
209,1,2013/7/2,0,99106763,0.0,0.0,0.0,6.0,
210,1,2013/7/14,0,99106763,0.0,0.0,0.0,6.0,
211,0,2009/5/2,0,99005934,0.0,0.0,0.0,5.0,
212,0,2012/9/12,0,99005046,0.0,0.0,0.0,1.0,
213,0,2014/9/11,0,99003577,34.099,9.22,0.0,0.0,
214,0,2011/7/22,0,99003578,80.481,0.0,0.0,0.0,
215,0,2014/2/5,0,99106763,41.448,153.27,313.13,1.0,
216,0,2014/2/12,0,99002147,0.0,17.6,0.0,5.0,86100002.0
217,0,2013/8/28,0,99003577,42.38,100.44,0.0,0.0,86126901.0
218,0,2014/4/19,0,99114785,4.189,0.0,0.0,7.0,
